entrées;horodatage;id_erp;Nom;geo_point_2d
3;2016-10-28T19:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
7;2016-11-03T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
36;2016-11-06T18:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
6;2016-11-08T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
9;2016-11-12T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
4;2016-11-18T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
4;2016-11-18T18:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
5;2016-11-19T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
3;2016-11-23T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
5;2016-11-26T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
12;2016-12-07T16:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
5;2018-01-19T17:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
12;2016-12-27T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
4;2018-01-26T16:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
1;2017-02-07T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
1;2018-01-28T13:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2017-02-10T16:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
3;2018-01-29T18:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
15;2017-02-17T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
10;2018-02-04T15:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
15;2017-02-23T16:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
2;2018-02-06T12:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
4;2017-02-26T17:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
3;2017-03-01T18:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
8;2018-02-13T15:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
4;2017-03-16T15:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
29;2018-02-16T11:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2017-03-23T16:00:00+01:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
8;2018-02-16T16:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
1;2017-03-28T18:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
3;2018-02-19T15:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
1;2017-03-29T18:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
37;2018-02-21T11:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
18;2017-04-08T16:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
24;2018-02-25T14:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2017-04-09T13:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
4;2018-02-26T18:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
22;2017-04-11T16:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
14;2018-03-04T12:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-03-07T15:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
1;2017-04-22T18:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
10;2018-03-08T12:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2017-04-27T19:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
9;2018-03-10T19:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
22;2017-04-29T16:00:00+02:00;E-234-03489;MAISON DE JEANNE D'ARC;47.901061136559804, 1.9024447246276541
6;2018-03-12T17:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-03-15T11:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2018-03-16T18:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
2;2018-03-17T10:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
36;2018-03-17T19:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
43;2018-03-19T11:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
2;2018-03-20T15:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
8;2018-03-20T16:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
9;2018-03-21T12:00:00+01:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
13;2018-03-28T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-03-28T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
25;2018-03-29T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
43;2018-03-31T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
42;2018-04-01T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
78;2018-04-02T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
35;2018-04-05T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
10;2018-04-07T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
67;2018-04-07T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
88;2018-04-07T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-04-08T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
21;2018-04-08T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
4;2018-04-09T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-04-09T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
12;2018-04-10T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
13;2018-04-11T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
9;2018-04-16T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
21;2018-04-18T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
28;2018-04-18T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
30;2018-04-22T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
24;2018-04-24T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-04-24T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-04-27T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
74;2018-04-29T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-04-29T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
47;2018-05-01T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
2;2018-05-03T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
72;2018-05-06T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
76;2018-05-07T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
28;2018-05-08T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
78;2018-05-11T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
50;2018-05-12T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
8;2018-05-14T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
13;2018-05-16T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
34;2018-05-17T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
41;2018-05-17T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
67;2018-05-17T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
55;2018-05-18T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
188;2018-05-20T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
34;2018-05-23T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
7;2018-05-26T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
33;2018-05-27T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2018-05-28T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
45;2018-05-30T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
42;2018-05-30T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-06-01T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
22;2018-06-03T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
22;2018-06-03T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-06-03T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-06-04T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
42;2018-06-06T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
40;2018-06-07T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
49;2018-06-13T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
68;2018-06-14T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-06-15T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
24;2018-06-15T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-06-15T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
29;2018-06-17T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
51;2018-06-22T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
1;2018-06-22T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
34;2018-06-24T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
2;2018-06-25T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
14;2018-06-29T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
44;2018-07-01T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
30;2018-07-02T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
13;2018-07-02T20:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
39;2018-07-03T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
19;2018-07-04T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
2;2018-07-05T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
8;2018-07-07T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
54;2018-07-08T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
28;2018-07-08T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
58;2018-07-09T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
25;2018-07-10T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-07-14T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
60;2018-07-14T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-07-15T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
10;2018-07-15T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
11;2018-07-16T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
32;2018-07-17T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
23;2018-07-18T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
89;2018-07-19T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
9;2018-07-19T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
43;2018-07-20T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
13;2018-07-23T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
58;2018-07-23T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
16;2018-07-24T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
14;2018-07-25T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-07-25T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
4;2018-07-26T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
32;2018-07-26T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
37;2018-07-26T20:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
14;2018-07-27T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
55;2018-07-28T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
27;2018-07-29T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
70;2018-07-29T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
30;2018-07-30T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2018-07-30T20:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
61;2018-07-31T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
14;2018-07-31T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
31;2018-08-01T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
33;2018-08-02T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
9;2018-08-03T13:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
26;2018-08-03T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
23;2018-08-04T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
17;2018-08-06T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
54;2018-08-06T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
12;2018-08-06T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
18;2018-08-06T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
9;2018-08-07T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
103;2018-08-08T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
78;2018-08-09T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
44;2018-08-09T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
75;2018-08-09T20:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
85;2018-08-11T20:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
103;2018-08-13T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
107;2018-08-13T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
79;2018-08-14T16:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
69;2018-08-16T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
75;2018-08-16T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
6;2018-08-17T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-08-18T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
49;2018-08-20T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
23;2018-08-22T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
23;2018-08-23T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
49;2018-08-24T18:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
76;2018-08-25T14:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
5;2018-08-26T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
39;2018-08-26T12:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
23;2018-08-27T19:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
7;2018-08-28T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
30;2018-08-30T15:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
4;2018-09-01T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
3;2018-09-02T11:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
42;2018-09-02T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
51;2018-09-03T17:00:00+02:00;E-234-00939;HOTEL GROSLOT;47.90276999918217, 1.9082339994163935
